timepoint,genotype,embryo,total_cells,cell_type,cells
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P19_A1,41,unknown sensory ganglion,2
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P19_B1,33,cranial ganglion progenitor,11
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P19_B1,33,epibranchial ganglion,6
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P19_B1,33,lateral line ganglion,2
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P19_B1,33,statoacoustic ganglion,4
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P19_B1,33,trigeminal ganglion,4
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P19_B1,33,rohon-beard neuron,2
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P19_B1,33,unknown sensory ganglion,4
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P19_C1,23,cranial ganglion progenitor,7
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P19_C1,23,epibranchial ganglion,2
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P19_C1,23,lateral line ganglion,2
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P19_C1,23,statoacoustic ganglion,7
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P19_C1,23,trigeminal ganglion,3
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P19_C1,23,rohon-beard neuron,1
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P19_C1,23,unknown sensory ganglion,1
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P19_D1,34,cranial ganglion progenitor,7
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P19_D1,34,epibranchial ganglion,6
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P19_D1,34,lateral line ganglion,5
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P19_D1,34,statoacoustic ganglion,6
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P19_D1,34,trigeminal ganglion,7
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P19_D1,34,rohon-beard neuron,1
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P19_D1,34,unknown sensory ganglion,2
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P19_E1,35,cranial ganglion progenitor,8
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P19_E1,35,epibranchial ganglion,5
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P19_E1,35,lateral line ganglion,3
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P19_E1,35,statoacoustic ganglion,6
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P19_E1,35,trigeminal ganglion,6
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P19_E1,35,rohon-beard neuron,5
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P19_E1,35,unknown sensory ganglion,2
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P19_F1,39,cranial ganglion progenitor,11
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P19_F1,39,epibranchial ganglion,1
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P19_F1,39,lateral line ganglion,2
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P19_F1,39,statoacoustic ganglion,6
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P19_F1,39,trigeminal ganglion,7
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P19_F1,39,rohon-beard neuron,7
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P19_F1,39,unknown sensory ganglion,5
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P19_G1,32,cranial ganglion progenitor,14
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P19_G1,32,epibranchial ganglion,2
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P19_G1,32,lateral line ganglion,1
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P19_G1,32,statoacoustic ganglion,5
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P19_G1,32,trigeminal ganglion,5
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P19_G1,32,rohon-beard neuron,4
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P19_G1,32,unknown sensory ganglion,1
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P19_H1,25,cranial ganglion progenitor,9
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P19_H1,25,epibranchial ganglion,3
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P19_H1,25,lateral line ganglion,3
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P19_H1,25,statoacoustic ganglion,4
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P19_H1,25,trigeminal ganglion,5
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P19_H1,25,rohon-beard neuron,1
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P19_H1,25,unknown sensory ganglion,0
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P2_A11,29,cranial ganglion progenitor,8
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P2_A11,29,epibranchial ganglion,4
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P2_A11,29,lateral line ganglion,6
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P2_A11,29,statoacoustic ganglion,2
36,ctrl-inj,GAP16.36.36h_ctrl-inj_P2_A11,29,trigeminal ganglion,6
