mutant,cell.type,n.degs,tissue
noto-mut,hypophysis-locus coeruleus,2,Central Nervous System
noto-mut,KA neuron,2,Central Nervous System
noto-mut,"neuron (telencephalon, glutamatergic)",2,Central Nervous System
noto-mut,osteoblast,2,Bone
noto-mut,posterior lateral line primordium,2,Lateral Line
noto-mut,primordial germ cell,2,Germ Line
noto-mut,differentiating neuron 2,1,Central Nervous System
noto-mut,jaw chondrocyte,1,Pharyngeal Arch
noto-mut,pharynx,1,Pharynx
noto-mut,thyroid follicle cell,1,Endocrine
phox2a,mature fast muscle,24,Muscle
phox2a,periderm,23,Epidermis
phox2a,cranial muscle (mid),17,Pharyngeal Arch
phox2a,fin fold,13,Fin
phox2a,notochord,12,Notochord
phox2a,retinal neuron,9,Eye
phox2a,hatching gland,8,Hatching Gland
phox2a,connective tissue-meninges-dermal FB,7,Connective Tissue
phox2a,mature slow muscle,7,Muscle
phox2a,neural tube-like connective tissue (+ taste bud),7,Connective Tissue
phox2a,basal cell,6,Connective Tissue
phox2a,basal cell,6,Epidermis
phox2a,dorsal spinal cord neuron,5,Central Nervous System
phox2a,endothelium (vein + early artery),5,Endothelial
phox2a,"pharyngeal arch (contains muscle, early cartilage)",5,Pharyngeal Arch
phox2a,fast-committed myocyte,4,Muscle
phox2a,intestine,4,Intestine
phox2a,"neuron (cranial ganglia sensory, Rohon-Beard)",4,Peripheral Nervous System
phox2a,pectoral fin bud (osteoblast+),4,Fin
phox2a,pronephros proximal tubule,4,Kidney
phox2a,"unknown (dcn+, col6+)",4,Muscle
phox2a,"head mesenchyme (maybe ventral, hand2+)",3,Pharyngeal Arch
phox2a,neural progenitor (hindbrain R7-8),3,Central Nervous System
phox2a,pronephric duct,3,Kidney
phox2a,satellite cells,3,Muscle
phox2a,thyroid follicle cell,3,Endocrine
phox2a,anterior migratory muscle,2,Muscle
phox2a,cranial muscle (progenitor),2,Pharyngeal Arch
phox2a,endothelium (dorsal aorta),2,Endothelial
phox2a,glia,2,Central Nervous System
phox2a,glia,2,CNS/Neural crest
phox2a,head mesenchyme,2,Pharyngeal Arch
phox2a,hypochord,2,Hypochord
phox2a,ionocyte-goblet cell,2,Epidermis
phox2a,liver,2,Liver
phox2a,melanophore,2,Epidermis
phox2a,"neurons (gabaergic, glutamatergic; contains Purkinje)",2,Central Nervous System
phox2a,"neurons (gabaergic, glutamatergic)",2,Central Nervous System
phox2a,pharyngeal arch (early),2,Pharyngeal Arch
phox2a,pronephric podocyte,2,Kidney
phox2a,cardiomyocyte,1,Heart
phox2a,chondrocranium,1,Pharyngeal Arch
phox2a,contains head vasculature?,1,Connective Tissue
phox2a,cranial muscle (early),1,Pharyngeal Arch
phox2a,cranial neural crest,1,Cranial NC
phox2a,"endothelium (f8+, clic2+)",1,Endothelial
phox2a,fin bud mesoderm (pectoral),1,Fin
phox2a,fin mesenchyme,1,Fin
phox2a,floor plate,1,Central Nervous System
phox2a,hypophysis-locus coeruleus,1,Central Nervous System
phox2a,iridophore,1,Pigment
phox2a,lens,1,Eye
phox2a,motor neuron,1,Central Nervous System
phox2a,neural progenitor (hindbrain),1,Central Nervous System
phox2a,"neuron (cranial ganglia sensory, Rohon-Beard)",1,Peripheral Nervous System
phox2a,periocular mesenchyme,1,Head Mesoderm
phox2a,pharynx,1,Pharynx
phox2a,posterior lateral line primordium,1,Lateral Line
phox2a,primordial germ cell,1,Germ Line
phox2a,pronephros distal tubule,1,Kidney
phox2a,xanthophore,1,Epidermis
smo,mature fast muscle,244,Muscle
smo,fast-committed myocyte,118,Muscle
smo,head mesenchyme,114,Pharyngeal Arch
smo,retinal pigmented epithelium (early),111,Eye
smo,anterior migratory muscle,104,Muscle
smo,basal cell,100,Connective Tissue
smo,basal cell,100,Epidermis
smo,neural progenitor (hindbrain),86,Central Nervous System
smo,periderm,75,Epidermis
smo,"eye, optic cup",65,Eye
smo,neural progenitor (telencephalon-diencephalon),56,Central Nervous System
smo,neural progenitor (hindbrain R7-8),47,Central Nervous System
smo,fin fold,46,Fin
smo,mature slow muscle,44,Muscle
smo,connective tissue-meninges-dermal FB,36,Connective Tissue
smo,pancreas,36,Pancreas
smo,head mesenchyme-PA cartilage,35,Pharyngeal Arch
smo,"head mesenchyme (maybe ventral, hand2+)",34,Pharyngeal Arch
smo,"pharyngeal arch (contains muscle, early cartilage)",34,Pharyngeal Arch
smo,posterior spinal cord progenitors,33,Central Nervous System
smo,support cells-otic vesicle,30,Ear
smo,neural progenitor (MHB),29,Central Nervous System
smo,pronephros distal tubule,28,Kidney
smo,pharyngeal arch (early),27,Pharyngeal Arch
smo,cranial muscle (early),25,Pharyngeal Arch
smo,fin mesenchyme,23,Fin
smo,neural tube-like connective tissue (+ taste bud),23,Connective Tissue
smo,head-eye connective tissue,20,Connective Tissue
smo,mesodermal progenitor cells (contains PSM),20,Paraxial Mesoderm
smo,contains head vasculature?,19,Connective Tissue
smo,cranial muscle (progenitor),16,Pharyngeal Arch
smo,differentiating neuron (hindbrain),16,Central Nervous System
smo,notochord,16,Notochord
smo,differentiating neuron 1,15,Central Nervous System
smo,endothelium (vein + early artery),15,Endothelial
smo,pharynx,14,Pharynx
smo,pharyngeal arch (NC-derived),13,Pharyngeal Arch
smo,slow-committed myocyte,13,Muscle
smo,intestine,11,Intestine
smo,periocular mesenchyme,11,Head Mesoderm
smo,"neurons (differentiating, contains peripheral)",9,Central Nervous System
smo,cranial neural crest,8,Cranial NC
smo,lens,8,Eye
smo,floor plate,7,Central Nervous System
smo,neuromast support cell,7,Lateral Line
smo,"neurons (gabaergic, glutamatergic; contains Purkinje)",7,Central Nervous System
smo,red blood cell,7,Blood
smo,endothelium (dorsal aorta),6,Endothelial
smo,glia,6,Central Nervous System
smo,glia,6,CNS/Neural crest
smo,myeloid cell,6,Blood
smo,neuron (+ spinal cord),6,Central Nervous System
smo,retinal neuron,6,Eye
smo,satellite cells,6,Muscle
smo,"cranial muscle (non-somitic, fast-twitch)",5,Muscle
smo,hatching gland,5,Hatching Gland
smo,hypophysis-locus coeruleus,5,Central Nervous System
smo,ionocyte-goblet cell,5,Epidermis
smo,neural crest + pigment cell progenitor,5,Pigment
smo,xanthophore,5,Epidermis
smo,differentiating neuron 2,4,Central Nervous System
smo,motor neuron,4,Central Nervous System
smo,myoblast,4,Muscle
smo,"neuron (cranial ganglia sensory, Rohon-Beard)",4,Peripheral Nervous System
smo,primordial germ cell,4,Germ Line
smo,thyroid follicle cell,4,Endocrine
smo,melanophore,3,Epidermis
smo,pectoral fin bud (osteoblast+),3,Fin
smo,pronephric podocyte,3,Kidney
smo,cardiomyocyte,2,Heart
smo,hair cell,2,Lateral Line
smo,hypochord,2,Hypochord
smo,iridophore,2,Pigment
smo,liver,2,Liver
smo,"neurons (gabaergic, glutamatergic)",2,Central Nervous System
smo,olfactory vesicle-bulb,2,Olfactory
smo,pronephric duct,2,Kidney
smo,pronephros proximal tubule,2,Kidney
smo,"roof plate, flexural + subcommissural organ",2,Central Nervous System
smo,"endothelium (f8+, clic2+)",1,Endothelial
smo,fin bud mesoderm (pectoral),1,Fin
smo,KA neuron,1,Central Nervous System
smo,"neuron (telencephalon, glutamatergic)",1,Central Nervous System
smo,posterior lateral line primordium,1,Lateral Line
tbx1,periderm,63,Epidermis
tbx1,basal cell,32,Connective Tissue
tbx1,basal cell,32,Epidermis
tbx1,mature fast muscle,30,Muscle
tbx1,endothelium (dorsal aorta),25,Endothelial
tbx1,neural tube-like connective tissue (+ taste bud),24,Connective Tissue
tbx1,support cells-otic vesicle,24,Ear
tbx1,fin fold,21,Fin
tbx1,connective tissue-meninges-dermal FB,18,Connective Tissue
tbx1,cranial muscle (early),15,Pharyngeal Arch
tbx1,fast-committed myocyte,13,Muscle
tbx1,pharyngeal arch (NC-derived),13,Pharyngeal Arch
tbx1,neural progenitor (hindbrain),11,Central Nervous System
tbx1,"pharyngeal arch (contains muscle, early cartilage)",10,Pharyngeal Arch
tbx1,cranial muscle (mid),9,Pharyngeal Arch
tbx1,fin mesenchyme,8,Fin
tbx1,"head mesenchyme (maybe ventral, hand2+)",7,Pharyngeal Arch
tbx1,cardiomyocyte,6,Heart
tbx1,endothelium (vein + early artery),6,Endothelial
tbx1,hatching gland,6,Hatching Gland
tbx1,satellite cells,6,Muscle
tbx1,glia,5,Central Nervous System
tbx1,glia,5,CNS/Neural crest
tbx1,mature slow muscle,5,Muscle
tbx1,pharyngeal arch (early),5,Pharyngeal Arch
tbx1,red blood cell,5,Blood
tbx1,dorsal spinal cord neuron,4,Central Nervous System
tbx1,notochord,4,Notochord
tbx1,contains head vasculature?,3,Connective Tissue
tbx1,cranial muscle (progenitor),3,Pharyngeal Arch
tbx1,liver,3,Liver
tbx1,"neurons (gabaergic, glutamatergic; contains Purkinje)",3,Central Nervous System
tbx1,pancreas,3,Pancreas
tbx1,pronephros proximal tubule,3,Kidney
tbx1,cranial muscle (late),2,Muscle
tbx1,"endothelium (f8+, clic2+)",2,Endothelial
tbx1,"eye, optic cup",2,Eye
tbx1,fin bud mesoderm (pectoral),2,Fin
tbx1,floor plate,2,Central Nervous System
tbx1,head-eye connective tissue,2,Connective Tissue
tbx1,lens,2,Eye
tbx1,motor neuron,2,Central Nervous System
tbx1,myeloid cell,2,Blood
tbx1,"neurons (differentiating, contains peripheral)",2,Central Nervous System
tbx1,"neurons (gabaergic, glutamatergic)",2,Central Nervous System
tbx1,periocular mesenchyme,2,Head Mesoderm
tbx1,posterior lateral line primordium,2,Lateral Line
tbx1,pronephros distal tubule,2,Kidney
tbx1,chondrocranium,1,Pharyngeal Arch
tbx1,cranial neural crest,1,Cranial NC
tbx1,differentiating neuron (hindbrain),1,Central Nervous System
tbx1,differentiating neuron 1,1,Central Nervous System
tbx1,differentiating neuron 2,1,Central Nervous System
tbx1,hair cell,1,Lateral Line
tbx1,head mesenchyme-PA cartilage,1,Pharyngeal Arch
tbx1,hypophysis-locus coeruleus,1,Central Nervous System
tbx1,ionocyte-goblet cell,1,Epidermis
tbx1,iridophore,1,Pigment
tbx1,mesodermal progenitor cells (contains PSM),1,Paraxial Mesoderm
tbx1,neural crest + pigment cell progenitor,1,Pigment
tbx1,neural progenitor (telencephalon-diencephalon),1,Central Nervous System
tbx1,neuromast support cell,1,Lateral Line
tbx1,neuron (+ spinal cord),1,Central Nervous System
tbx1,"neuron (cranial ganglia sensory, Rohon-Beard)",1,Peripheral Nervous System
tbx1,pectoral fin bud (osteoblast+),1,Fin
tbx1,primordial germ cell,1,Germ Line
tbx1,pronephric podocyte,1,Kidney
tbx1,retinal neuron,1,Eye
tbx1,thyroid follicle cell,1,Endocrine
tbx1,"unknown (dcn+, col6+)",1,Muscle
tbx16,mature fast muscle,212,Muscle
tbx16,mesodermal progenitor cells (contains PSM),166,Paraxial Mesoderm
tbx16,periderm,83,Epidermis
tbx16,adrenal gland,73,Endocrine
tbx16,fin fold,58,Fin
tbx16,basal cell,53,Connective Tissue
tbx16,basal cell,53,Epidermis
tbx16,anterior migratory muscle,47,Muscle
tbx16,connective tissue-meninges-dermal FB,44,Connective Tissue
tbx16,mature slow muscle,27,Muscle
tbx16,head mesenchyme,21,Pharyngeal Arch
tbx16,fast-committed myocyte,20,Muscle
tbx16,pharyngeal arch (early),15,Pharyngeal Arch
tbx16,notochord,12,Notochord
tbx16,slow-committed myocyte,11,Muscle
tbx16,cranial muscle (early),9,Pharyngeal Arch
tbx16,"head mesenchyme (maybe ventral, hand2+)",9,Pharyngeal Arch
tbx16,myoblast,9,Muscle
tbx16,pronephros proximal tubule,9,Kidney
tbx16,"eye, optic cup",8,Eye
tbx16,"unknown (dcn+, col6+)",8,Muscle
tbx16,neural progenitor (hindbrain),6,Central Nervous System
tbx16,pancreas,6,Pancreas
tbx16,pronephros distal tubule,6,Kidney
tbx16,differentiating neuron 1,5,Central Nervous System
tbx16,endothelium (vein + early artery),5,Endothelial
tbx16,floor plate,5,Central Nervous System
tbx16,differentiating neuron (hindbrain),4,Central Nervous System
tbx16,fin bud mesoderm (pectoral),4,Fin
tbx16,fin mesenchyme,4,Fin
tbx16,periocular mesenchyme,4,Head Mesoderm
tbx16,satellite cells,4,Muscle
tbx16,contains head vasculature?,3,Connective Tissue
tbx16,cranial muscle (progenitor),3,Pharyngeal Arch
tbx16,"endothelium (f8+, clic2+)",3,Endothelial
tbx16,hatching gland,3,Hatching Gland
tbx16,head mesenchyme-PA cartilage,3,Pharyngeal Arch
tbx16,neuromast support cell,3,Lateral Line
tbx16,pectoral fin bud (osteoblast+),3,Fin
tbx16,"pharyngeal arch (contains muscle, early cartilage)",3,Pharyngeal Arch
tbx16,posterior spinal cord progenitors,3,Central Nervous System
tbx16,red blood cell,3,Blood
tbx16,retinal neuron,3,Eye
tbx16,"cranial muscle (non-somitic, fast-twitch)",2,Muscle
tbx16,endothelium (dorsal aorta),2,Endothelial
tbx16,head-eye connective tissue,2,Connective Tissue
tbx16,neural progenitor (hindbrain R7-8),2,Central Nervous System
tbx16,cardiomyocyte,1,Heart
tbx16,cranial muscle (mid),1,Pharyngeal Arch
tbx16,differentiating neuron 2,1,Central Nervous System
tbx16,hair cell,1,Lateral Line
tbx16,hypochord,1,Hypochord
tbx16,hypophysis-locus coeruleus,1,Central Nervous System
tbx16,ionocyte-goblet cell,1,Epidermis
tbx16,iridophore,1,Pigment
tbx16,myeloid cell,1,Blood
tbx16,neural progenitor (MHB),1,Central Nervous System
tbx16,neural progenitor (telencephalon-diencephalon),1,Central Nervous System
tbx16,neural tube-like connective tissue (+ taste bud),1,Connective Tissue
tbx16,neuron (+ spinal cord),1,Central Nervous System
tbx16,"neuron (cranial ganglia sensory, Rohon-Beard)",1,Peripheral Nervous System
tbx16,"neuron (cranial ganglia sensory, Rohon-Beard)",1,Peripheral Nervous System
tbx16,"neuron (telencephalon, glutamatergic)",1,Central Nervous System
tbx16,"neurons (differentiating, contains peripheral)",1,Central Nervous System
tbx16,"neurons (gabaergic, glutamatergic; contains Purkinje)",1,Central Nervous System
tbx16,"neurons (gabaergic, glutamatergic)",1,Central Nervous System
tbx16,olfactory vesicle-bulb,1,Olfactory
tbx16,pharyngeal arch (NC-derived),1,Pharyngeal Arch
tbx16,pharynx,1,Pharynx
tbx16,posterior lateral line primordium,1,Lateral Line
tbx16,pronephric duct,1,Kidney
tbx16,pronephric podocyte,1,Kidney
tbx16,retinal pigmented epithelium (early),1,Eye
tbx16,thyroid follicle cell,1,Endocrine
tbx16-msgn1,chondrocranium,1235,Pharyngeal Arch
tbx16-msgn1,mature fast muscle,554,Muscle
tbx16-msgn1,mesodermal progenitor cells (contains PSM),316,Paraxial Mesoderm
tbx16-msgn1,head mesenchyme,111,Pharyngeal Arch
tbx16-msgn1,periderm,104,Epidermis
tbx16-msgn1,fin fold,89,Fin
tbx16-msgn1,basal cell,86,Connective Tissue
tbx16-msgn1,basal cell,86,Epidermis
tbx16-msgn1,connective tissue-meninges-dermal FB,77,Connective Tissue
tbx16-msgn1,mature slow muscle,37,Muscle
tbx16-msgn1,anterior migratory muscle,33,Muscle
tbx16-msgn1,notochord,19,Notochord
tbx16-msgn1,endothelium (vein + early artery),17,Endothelial
tbx16-msgn1,pharyngeal arch (early),17,Pharyngeal Arch
tbx16-msgn1,fast-committed myocyte,16,Muscle
tbx16-msgn1,neural progenitor (hindbrain),16,Central Nervous System
tbx16-msgn1,pronephros proximal tubule,15,Kidney
tbx16-msgn1,satellite cells,15,Muscle
tbx16-msgn1,"head mesenchyme (maybe ventral, hand2+)",12,Pharyngeal Arch
tbx16-msgn1,pronephros distal tubule,11,Kidney
tbx16-msgn1,floor plate,10,Central Nervous System
tbx16-msgn1,cranial muscle (mid),9,Pharyngeal Arch
tbx16-msgn1,fin mesenchyme,8,Fin
tbx16-msgn1,pharyngeal arch (NC-derived),8,Pharyngeal Arch
tbx16-msgn1,"unknown (dcn+, col6+)",8,Muscle
tbx16-msgn1,cranial muscle (early),7,Pharyngeal Arch
tbx16-msgn1,fin bud mesoderm (pectoral),7,Fin
tbx16-msgn1,hypochord,7,Hypochord
tbx16-msgn1,cranial muscle (progenitor),6,Pharyngeal Arch
tbx16-msgn1,neural progenitor (MHB),6,Central Nervous System
tbx16-msgn1,neural tube-like connective tissue (+ taste bud),6,Connective Tissue
tbx16-msgn1,"eye, optic cup",5,Eye
tbx16-msgn1,head-eye connective tissue,5,Connective Tissue
tbx16-msgn1,myoblast,5,Muscle
tbx16-msgn1,neural progenitor (telencephalon-diencephalon),5,Central Nervous System
tbx16-msgn1,neuromast support cell,5,Lateral Line
tbx16-msgn1,"neurons (gabaergic, glutamatergic; contains Purkinje)",5,Central Nervous System
tbx16-msgn1,hatching gland,4,Hatching Gland
tbx16-msgn1,neural progenitor (hindbrain R7-8),4,Central Nervous System
tbx16-msgn1,thyroid follicle cell,4,Endocrine
tbx16-msgn1,endothelium (dorsal aorta),3,Endothelial
tbx16-msgn1,melanophore,3,Epidermis
tbx16-msgn1,myeloid cell,3,Blood
tbx16-msgn1,"neurons (differentiating, contains peripheral)",3,Central Nervous System
tbx16-msgn1,pectoral fin bud (osteoblast+),3,Fin
tbx16-msgn1,red blood cell,3,Blood
tbx16-msgn1,slow-committed myocyte,3,Muscle
tbx16-msgn1,support cells-otic vesicle,3,Ear
tbx16-msgn1,cardiomyocyte,2,Heart
tbx16-msgn1,differentiating neuron (hindbrain),2,Central Nervous System
tbx16-msgn1,differentiating neuron 1,2,Central Nervous System
tbx16-msgn1,differentiating neuron 2,2,Central Nervous System
tbx16-msgn1,"neuron (cranial ganglia sensory, Rohon-Beard)",2,Peripheral Nervous System
tbx16-msgn1,periocular mesenchyme,2,Head Mesoderm
tbx16-msgn1,retinal neuron,2,Eye
tbx16-msgn1,retinal pigmented epithelium (early),2,Eye
tbx16-msgn1,dorsal spinal cord neuron,1,Central Nervous System
tbx16-msgn1,"endothelium (f8+, clic2+)",1,Endothelial
tbx16-msgn1,hair cell,1,Lateral Line
tbx16-msgn1,head mesenchyme-PA cartilage,1,Pharyngeal Arch
tbx16-msgn1,intestine,1,Intestine
tbx16-msgn1,ionocyte-goblet cell,1,Epidermis
tbx16-msgn1,neural crest + pigment cell progenitor,1,Pigment
tbx16-msgn1,neuron (+ spinal cord),1,Central Nervous System
tbx16-msgn1,neuron (dopaminergic),1,Central Nervous System
tbx16-msgn1,olfactory vesicle-bulb,1,Olfactory
tbx16-msgn1,"pharyngeal arch (contains muscle, early cartilage)",1,Pharyngeal Arch
tbx16-msgn1,pronephric duct,1,Kidney
tbx16-msgn1,pronephric podocyte,1,Kidney
tbx16-mut,enveloping layer (EVL),96,Epidermis
tbx16-mut,mesodermal progenitor cells (contains PSM),74,Paraxial Mesoderm
tbx16-mut,mature fast muscle,66,Muscle
tbx16-mut,periderm,51,Epidermis
tbx16-mut,connective tissue-meninges-dermal FB,19,Connective Tissue
tbx16-mut,satellite cells,15,Muscle
tbx16-mut,mature slow muscle,13,Muscle
tbx16-mut,neural progenitor (hindbrain R7-8),10,Central Nervous System
tbx16-mut,fast-committed myocyte,9,Muscle
tbx16-mut,fin mesenchyme,9,Fin
tbx16-mut,"head mesenchyme (maybe ventral, hand2+)",9,Pharyngeal Arch
tbx16-mut,neural progenitor (hindbrain),9,Central Nervous System
tbx16-mut,notochord,9,Notochord
tbx16-mut,pronephros proximal tubule,9,Kidney
tbx16-mut,endothelium (vein + early artery),8,Endothelial
tbx16-mut,pectoral fin bud (osteoblast+),8,Fin
tbx16-mut,"eye, optic cup",7,Eye
tbx16-mut,head-eye connective tissue,7,Connective Tissue
tbx16-mut,myoblast,7,Muscle
tbx16-mut,anterior migratory muscle,6,Muscle
tbx16-mut,intestine,6,Intestine
tbx16-mut,neural progenitor (MHB),6,Central Nervous System
tbx16-mut,pharyngeal arch (NC-derived),5,Pharyngeal Arch
tbx16-mut,slow-committed myocyte,5,Muscle
tbx16-mut,head mesenchyme,4,Pharyngeal Arch
tbx16-mut,hypochord,4,Hypochord
tbx16-mut,ionocyte-goblet cell,4,Epidermis
tbx16-mut,neural progenitor (telencephalon-diencephalon),4,Central Nervous System
tbx16-mut,neuron (+ spinal cord),4,Central Nervous System
tbx16-mut,"pharyngeal arch (contains muscle, early cartilage)",4,Pharyngeal Arch
tbx16-mut,red blood cell,4,Blood
tbx16-mut,neuromast support cell,3,Lateral Line
tbx16-mut,"neurons (gabaergic, glutamatergic; contains Purkinje)",3,Central Nervous System
tbx16-mut,differentiating neuron (hindbrain),2,Central Nervous System
tbx16-mut,"endothelium (f8+, clic2+)",2,Endothelial
tbx16-mut,hatching gland,2,Hatching Gland
tbx16-mut,head mesenchyme-PA cartilage,2,Pharyngeal Arch
tbx16-mut,neural tube-like connective tissue (+ taste bud),2,Connective Tissue
tbx16-mut,"neuron (cranial ganglia sensory, Rohon-Beard)",2,Peripheral Nervous System
tbx16-mut,primordial germ cell,2,Germ Line
tbx16-mut,pronephros distal tubule,2,Kidney
tbx16-mut,retinal neuron,2,Eye
tbx16-mut,cardiomyocyte,1,Heart
tbx16-mut,contains head vasculature?,1,Connective Tissue
tbx16-mut,"cranial muscle (non-somitic, fast-twitch)",1,Muscle
tbx16-mut,cranial muscle (progenitor),1,Pharyngeal Arch
tbx16-mut,differentiating neuron 2,1,Central Nervous System
tbx16-mut,glia,1,Central Nervous System
tbx16-mut,glia,1,CNS/Neural crest
tbx16-mut,KA neuron,1,Central Nervous System
tbx16-mut,lens,1,Eye
tbx16-mut,melanophore,1,Epidermis
tbx16-mut,motor neuron,1,Central Nervous System
tbx16-mut,myeloid cell,1,Blood
tbx16-mut,neural crest + pigment cell progenitor,1,Pigment
tbx16-mut,"neurons (differentiating, contains peripheral)",1,Central Nervous System
tbx16-mut,olfactory vesicle-bulb,1,Olfactory
tbx16-mut,pancreas,1,Pancreas
tbx16-mut,pharyngeal arch (early),1,Pharyngeal Arch
tbx16-mut,posterior lateral line primordium,1,Lateral Line
tbx16-mut,posterior spinal cord progenitors,1,Central Nervous System
tbx16-mut,pronephric duct,1,Kidney
tbx16-mut,retinal pigmented epithelium (early),1,Eye
tbx16-mut,support cells-otic vesicle,1,Ear
tbx16-mut,xanthophore,1,Epidermis
tbx16-tbx16l,mature fast muscle,1015,Muscle
tbx16-tbx16l,jaw chondrocyte,511,Pharyngeal Arch
tbx16-tbx16l,mesodermal progenitor cells (contains PSM),325,Paraxial Mesoderm
tbx16-tbx16l,head mesenchyme,170,Pharyngeal Arch
tbx16-tbx16l,periderm,167,Epidermis
tbx16-tbx16l,anterior migratory muscle,142,Muscle
tbx16-tbx16l,basal cell,120,Connective Tissue
tbx16-tbx16l,basal cell,120,Epidermis
tbx16-tbx16l,connective tissue-meninges-dermal FB,110,Connective Tissue
tbx16-tbx16l,fin fold,94,Fin
tbx16-tbx16l,notochord,85,Notochord
tbx16-tbx16l,mature slow muscle,79,Muscle
tbx16-tbx16l,neural progenitor (hindbrain),55,Central Nervous System
tbx16-tbx16l,enveloping layer (EVL),48,Epidermis
tbx16-tbx16l,floor plate,31,Central Nervous System
tbx16-tbx16l,neural progenitor (hindbrain R7-8),30,Central Nervous System
tbx16-tbx16l,satellite cells,27,Muscle
tbx16-tbx16l,"eye, optic cup",26,Eye
tbx16-tbx16l,"head mesenchyme (maybe ventral, hand2+)",25,Pharyngeal Arch
tbx16-tbx16l,neural progenitor (MHB),25,Central Nervous System
tbx16-tbx16l,pharyngeal arch (early),19,Pharyngeal Arch
tbx16-tbx16l,pharyngeal arch (NC-derived),19,Pharyngeal Arch
tbx16-tbx16l,head-eye connective tissue,18,Connective Tissue
tbx16-tbx16l,endothelium (vein + early artery),15,Endothelial
tbx16-tbx16l,fin mesenchyme,15,Fin
tbx16-tbx16l,cranial muscle (early),14,Pharyngeal Arch
tbx16-tbx16l,fast-committed myocyte,14,Muscle
tbx16-tbx16l,pectoral fin bud (osteoblast+),14,Fin
tbx16-tbx16l,cranial muscle (progenitor),13,Pharyngeal Arch
tbx16-tbx16l,neural progenitor (telencephalon-diencephalon),13,Central Nervous System
tbx16-tbx16l,pancreas,13,Pancreas
tbx16-tbx16l,posterior spinal cord progenitors,12,Central Nervous System
tbx16-tbx16l,"neurons (gabaergic, glutamatergic; contains Purkinje)",11,Central Nervous System
tbx16-tbx16l,pronephros proximal tubule,11,Kidney
tbx16-tbx16l,myeloid cell,10,Blood
tbx16-tbx16l,pronephros distal tubule,10,Kidney
tbx16-tbx16l,support cells-otic vesicle,9,Ear
tbx16-tbx16l,myoblast,8,Muscle
tbx16-tbx16l,neuromast support cell,8,Lateral Line
tbx16-tbx16l,"neurons (differentiating, contains peripheral)",8,Central Nervous System
tbx16-tbx16l,differentiating neuron (hindbrain),7,Central Nervous System
tbx16-tbx16l,hypochord,7,Hypochord
tbx16-tbx16l,retinal neuron,7,Eye
tbx16-tbx16l,"cranial muscle (non-somitic, fast-twitch)",6,Muscle
tbx16-tbx16l,cranial neural crest,6,Cranial NC
tbx16-tbx16l,differentiating neuron 1,6,Central Nervous System
tbx16-tbx16l,neural tube-like connective tissue (+ taste bud),6,Connective Tissue
tbx16-tbx16l,"pharyngeal arch (contains muscle, early cartilage)",6,Pharyngeal Arch
tbx16-tbx16l,"unknown (dcn+, col6+)",6,Muscle
tbx16-tbx16l,endothelium (dorsal aorta),5,Endothelial
tbx16-tbx16l,retinal pigmented epithelium (early),5,Eye
tbx16-tbx16l,slow-committed myocyte,5,Muscle
tbx16-tbx16l,contains head vasculature?,4,Connective Tissue
tbx16-tbx16l,ionocyte-goblet cell,4,Epidermis
tbx16-tbx16l,lens,4,Eye
tbx16-tbx16l,neural crest + pigment cell progenitor,4,Pigment
tbx16-tbx16l,"neuron (cranial ganglia sensory, Rohon-Beard)",4,Peripheral Nervous System
tbx16-tbx16l,fin bud mesoderm (pectoral),3,Fin
tbx16-tbx16l,head mesenchyme-PA cartilage,3,Pharyngeal Arch
tbx16-tbx16l,motor neuron,3,Central Nervous System
tbx16-tbx16l,"neurons (gabaergic, glutamatergic)",3,Central Nervous System
tbx16-tbx16l,pharynx,3,Pharynx
tbx16-tbx16l,primordial germ cell,3,Germ Line
tbx16-tbx16l,red blood cell,3,Blood
tbx16-tbx16l,thyroid follicle cell,3,Endocrine
tbx16-tbx16l,cardiomyocyte,2,Heart
tbx16-tbx16l,cranial muscle (mid),2,Pharyngeal Arch
tbx16-tbx16l,differentiating neuron 2,2,Central Nervous System
tbx16-tbx16l,glia,2,Central Nervous System
tbx16-tbx16l,glia,2,CNS/Neural crest
tbx16-tbx16l,hair cell,2,Lateral Line
tbx16-tbx16l,hypophysis-locus coeruleus,2,Central Nervous System
tbx16-tbx16l,intestine,2,Intestine
tbx16-tbx16l,KA neuron,2,Central Nervous System
tbx16-tbx16l,neuron (+ spinal cord),2,Central Nervous System
tbx16-tbx16l,"neuron (cranial ganglia sensory, Rohon-Beard)",2,Peripheral Nervous System
tbx16-tbx16l,pronephric duct,2,Kidney
tbx16-tbx16l,"roof plate, flexural + subcommissural organ",2,Central Nervous System
tbx16-tbx16l,xanthophore,2,Epidermis
tbx16-tbx16l,"endothelium (f8+, clic2+)",1,Endothelial
tbx16-tbx16l,hatching gland,1,Hatching Gland
tbx16-tbx16l,iridophore,1,Pigment
tbx16-tbx16l,liver,1,Liver
tbx16-tbx16l,melanophore,1,Epidermis
tbx16-tbx16l,posterior lateral line primordium,1,Lateral Line
tbxta,periderm,244,Epidermis
tbxta,basal cell,215,Connective Tissue
tbxta,basal cell,215,Epidermis
tbxta,notochord,114,Notochord
tbxta,"neurons (differentiating, contains peripheral)",60,Central Nervous System
tbxta,mature fast muscle,59,Muscle
tbxta,floor plate,41,Central Nervous System
tbxta,fast-committed myocyte,34,Muscle
tbxta,"unknown (dcn+, col6+)",30,Muscle
