"geno.v.wt","cell_group","estimate","std.error","statistic","p.value","qval","emb_mean","abund_log2fc","timepoint"
"tfap2a","rohon-beard neuron",0.0282490818606512,0.524233947826737,0.0538864031559966,0.957025669635901,0.957025669635901,1,0,"48"
"tfap2a","lateral line ganglion",-0.0693531416482268,0.268962204519204,-0.257854599950957,0.79651912420284,0.871192792096857,5,-0.485426827170242,"48"
"tfap2a","epibranchial ganglion",-0.135931752782927,0.247006358014838,-0.550316817248733,0.582102091454292,0.754576785218527,6,-0.652076696579693,"48"
"tfap2a","trigeminal ganglion",-0.931776155292292,0.454582289319828,-2.0497414377636,0.0403896690462176,0.141363841661761,3,-1.32192809488736,"48"
"tfap2a","unknown sensory ganglion",-1.41279471838642,0.767953445776604,-1.83968797347827,0.0658140602152497,0.178988900742598,2,-1.58496250072116,"48"
"tfap2a-foxd3","unknown sensory ganglion",0.884207423201473,0.363854762514215,2.43011089669859,0.0150942036256729,0.0754710181283647,2,0,"48"
"tfap2a-foxd3","cranial ganglion progenitor",0.797841431845299,0.228775888331478,3.48743671225218,0.000487674327223483,0.00341372029056438,7,0,"48"
"tfap2a-foxd3","rohon-beard neuron",0.484091275118529,0.490472759940757,0.986989114700277,0.323647974952597,0.596193638070573,1,0,"48"
"tfap2a-foxd3","trigeminal ganglion",-0.32465897049202,0.397444708984508,-0.816865750512922,0.414005152379153,0.630007840576973,3,-0.736965594166206,"48"
"tfap2a-foxd3","epibranchial ganglion",-0.496408817440239,0.287582235384975,-1.72614562500954,0.0843212174438291,0.196749507368935,6,-1.13750352374994,"48"
"tfap2a-foxd3","statoacoustic ganglion",-0.595775804768709,0.363850699223539,-1.63741833131034,0.101543090524395,0.222125510522115,6,-1.32192809488736,"48"
"tfap2a-foxd3","lateral line ganglion",-0.618157701227791,0.343100468339811,-1.80168130990588,0.0715955602970392,0.178988900742598,5,-1.22239242133645,"48"
"foxd3","rohon-beard neuron",1.04397149511874,0.883910381656254,1.18108296585743,0.23756976615112,0.511688727094721,1,1.58496250072116,"72"
"foxd3","unknown sensory ganglion",0.939462469959213,1.18291914139435,0.794189929881287,0.427084870039911,0.664354242284305,1,1,"72"
"foxd3","trigeminal ganglion",0.539136931431863,0.740586835323087,0.727986112792108,0.466622087343702,0.687653602401245,2,1,"72"
"foxd3","statoacoustic ganglion",0.214536620435942,0.402169202576248,0.533448655594825,0.593723044227243,0.735837554599862,6,0.362570079384708,"72"
"foxd3","cranial ganglion progenitor",-0.135086437540264,0.306677532653759,-0.440483645382581,0.659586854876218,0.738737277461365,5,-0.485426827170242,"72"
"foxd3","lateral line ganglion",-0.497729330609253,0.288889471998446,-1.72290574373001,0.0849055714994101,0.434769525593458,6,-0.652076696579693,"72"
"foxd3","epibranchial ganglion",-0.499821555558504,0.349813322434265,-1.42882367109511,0.153054920217733,0.434769525593458,14,-0.523561956057013,"72"
"foxi1","unknown sensory ganglion",1.66951439212872,1.15319453431761,1.44773005980005,0.147692559643138,0.434769525593458,1,1,"72"
"foxi1","rohon-beard neuron",1.5232009172314,0.876193381295116,1.73843006549528,0.0821350628679163,0.434769525593458,1,1.58496250072116,"72"
"foxi1","trigeminal ganglion",1.39306582171937,0.71207365920448,1.95635072820372,0.0504238521747652,0.434769525593458,2,1,"72"
"foxi1","cranial ganglion progenitor",0.406260812109033,0.310625272928009,1.30788074093118,0.190913762771608,0.445465446467086,5,-0.485426827170242,"72"
"foxi1","lateral line ganglion",-0.132596640561996,0.297802870601593,-0.445249705935126,0.656139309391914,0.738737277461365,6,-0.874469117916141,"72"
"foxi1","statoacoustic ganglion",-0.368505626659824,0.457610998251334,-0.805281402912063,0.420657310975162,0.664354242284305,6,-1.22239242133645,"72"
"foxi1","epibranchial ganglion",-1.00061879774166,0.376617750436843,-2.6568551179041,0.00788733317403688,0.114050345424562,14,-1.71620703399941,"72"
