timepoint,cell_group,cells_per_embryo,cells_per_embryo.stddev,cells_per_embryo.stderr,cells_per_embryo_cv,cells_per_embryo_cv.stddev,cells_per_embryo_cv.stderr,num_embryos,model_fit,model_sd,model_fit_lower,model_fit_upper,cv_test_stat,cv_z_stat_p_val,mean_prolif
28,lens,3.51916666666667,1.83874536551246,0.265400032937449,0.523912324690255,0.0551159138970246,0.00795529693126985,48,0.580680004089454,0.0835131114656151,0.413653781158224,0.747706227020684,-0.679745711816421,0.751667256751088,0.588782897115782
28,mature slow muscle,24.3804166666667,7.99287899145265,1.15367270932882,0.32817295992867,0.0351362586886928,0.00507148210305828,48,0.365367272807816,0.067550458015635,0.230266356776546,0.500468188839086,-0.550615258160608,0.709051276507616,0.149240924744464
28,neural progenitor (hindbrain R7/8),15.21625,6.05351741299151,0.873749976983684,0.398134754923169,0.0413724368678454,0.00597159689067034,48,0.388021851638898,0.0694728373494313,0.249076176940036,0.526967526337761,0.145566291375217,0.442131890031212,1.23924159530566
28,neural progenitor (hindbrain),23.1679166666667,9.27493796904764,1.33872198328668,0.400166867174251,0.0422224011589016,0.00609427866873105,48,0.367343176890624,0.0677209677615086,0.231901241367607,0.502785112413642,0.484690212922246,0.313948055001718,1.38177332262771
28,neural progenitor (MHB),12.008125,4.92948815863244,0.711510328838378,0.411090010028575,0.0435371382716988,0.00628404462522781,48,0.404013212811112,0.070788688660064,0.262435835490984,0.54559059013124,0.0999707347517906,0.460183779654797,1.26469704626219
28,neural progenitor (telencephalon/diencephalon),8.71104166666667,4.21960412563781,0.609047394452661,0.484802474403399,0.0587503533290507,0.00847988307737827,48,0.432493187992358,0.0730542647459952,0.286384658500368,0.578601717484349,0.716033301997038,0.236985393031643,0.878215720424694
28,notochord,6.86645833333333,3.72718875964606,0.537973358425551,0.542997464610715,0.0623601776908542,0.00900091634413189,48,0.46007791642822,0.0751607225301059,0.309756471368008,0.610399361488432,1.1032297906567,0.13496369365608,0.515383610202754
28,periderm,150.987291666667,47.3143952066866,6.82924470228121,0.313615210725992,0.0316971830579298,0.00457509429276216,48,0.333518460939517,0.0647216722196974,0.204075116500122,0.462961805378912,-0.307520642327713,0.620776443279122,0.547161211506288
28,pharyngeal arch (NC-derived),9.53916666666667,3.77252360820959,0.544516880181007,0.395959080870329,0.0442500815591497,0.0063869491249595,48,0.423519916019673,0.0723507848649541,0.278818346289765,0.568221485749582,-0.380933464658166,0.64837368996287,1.28092672750664
28,pronephros proximal tubule,2.18270833333333,1.47300520848963,0.212609988409802,0.67835914417181,0.0744094753559202,0.0107400826567498,48,0.724903896261931,0.0920570784243543,0.540789739413222,0.909018053110639,-0.505607530531918,0.693433902982661,0.50111408724289
28,red blood cell,2.66666666666667,2.12160886152483,0.306227861829115,0.80063181338867,0.101179604895658,0.0146040180307521,48,0.656953429198418,0.0882001476426878,0.480553133913042,0.833353724483793,1.62900389659567,0.0516560970327959,1.45281032462239
28,satellite cells,5.549375,2.41652064944829,0.348794711865315,0.436803016307056,0.0457711603836206,0.00660649794215122,48,0.49067207487335,0.0774044649644013,0.335863144944548,0.645481004802153,-0.695942522063411,0.75676758687414,0.596688133274436
28,anterior migratory muscle,9.67270833333333,3.65147827564532,0.527045491345974,0.377823464464577,0.0396233727500336,0.0057191412308582,48,0.422214357419271,0.0722476556045113,0.277719046210249,0.566709668628294,-0.614426760055618,0.730533321516839,0.843383818147826
28,contains head vasculature?,2.44333333333333,1.70104485481124,0.245524676207225,0.698647636945514,0.0829520612055215,0.0119730987167105,48,0.685177274544833,0.0898361297019021,0.505505015141028,0.864849533948637,0.149943708009015,0.440404513750437,0.640090284875636
28,differentiating neuron 1,7.17770833333333,3.30653321065611,0.477256959814186,0.461935711946915,0.0514705561878386,0.00742913486759709,48,0.454451337132542,0.0747377148044413,0.304975907523659,0.603926766741424,0.10014187393817,0.460115845901478,0.37665608824801
28,hatching gland,7.15104166666667,4.54878988210192,0.656561265729648,0.636591906630368,0.0753374123234054,0.010874018821242,48,0.454914648203508,0.0747726725920474,0.305369303019413,0.604459993387602,2.42972802935739,0.0075550782812589,0.226445999467342
28,head/eye connective tissue,12.2320833333333,4.68898675580385,0.676796941422486,0.383445101423642,0.0454266103283432,0.00655676642536029,48,0.402628133794876,0.0706760041765014,0.261276125441873,0.543980142147879,-0.271422141004571,0.606966812544142,0.651712051341418
28,neuromast support cell,2.87083333333333,1.68046705232868,0.242554526256565,0.58689595064617,0.0648596345077933,0.0093616818606538,48,0.634785303420359,0.0868793117166699,0.461026679987019,0.808543926853698,-0.551216990880009,0.709257533004997,0.66849898273925
28,neuron (cranial ganglion),2.75166666666667,1.80671703285662,0.260777141317312,0.658703934646888,0.0697691801199538,0.0100703137308487,48,0.647347152222216,0.0876317535634721,0.472083645095272,0.82261065934916,0.129596658321422,0.448442773611963,0.442075404898613
28,"neurons (differentiating, contains peripheral)",5.88604166666667,2.71208893827432,0.391456319644721,0.461330982122117,0.0478712047824984,0.00690961324190178,48,0.481584621319176,0.0767476776587995,0.328089266001577,0.635079976636775,-0.263899049650754,0.604071146017745,0.185865769217838
28,posterior spinal cord progenitors,4.5325,2.36167327897257,0.34087817583819,0.522471151622755,0.0547335529589304,0.00790010788363578,48,0.526029142668694,0.079886680188776,0.366255782291142,0.685802503046246,-0.0445379760121598,0.517762209241659,0.954489940633811
28,support cells/otic vesicle,4.14541666666667,2.25947553238629,0.326127201712649,0.547062939264841,0.0592009199846538,0.00854491677235335,48,0.543872085943258,0.0810974988741863,0.381677088194885,0.70606708369163,0.0393458906363247,0.48430730974285,0.709715107046453
28,cranial neural crest,2.804375,1.68334914678862,0.242970520759635,0.601818542334257,0.0655496076955747,0.00946127091207861,48,0.641666588553048,0.087292794200241,0.467081000152565,0.81625217695353,-0.456487234529149,0.675980175811609,0.960686950604252
